anchor,ceterisParibus,counterfactualAnyChange,featureStatistics,followupWhyAreTheseFeaturesConsidered,followupWhyFeatureImportancesChange,followupWhyThisFeatureImportant,globalPdp,least3Features,modelConfidence,shapAllFeatures,top3Features,id,final_irt_score_mean,study_group
3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,participant_0077,0.1062353450432419,interactive
5.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,participant_0079,0.1058212792500853,interactive
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,participant_0080,-0.8145116078853607,interactive
1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,participant_0081,0.3623541470337659,interactive
0.0,10.0,0.0,10.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,participant_0082,-0.112943739099428,interactive
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,participant_0083,0.110224731802009,interactive
5.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,10.0,4.0,9.0,9.0,participant_0084,-0.7823720961809159,interactive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,participant_0085,-0.1303767476417124,interactive
1.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,participant_0086,-0.7489461743831635,interactive
3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,participant_0087,0.6250032275915146,interactive
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,5.0,participant_0088,-0.5286175638344139,interactive
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,participant_0089,-0.1114269476151093,interactive
0.0,10.0,0.0,2.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,participant_0090,-0.0850910532474517,interactive
